Series Name,Series Code,Country Name,Country Code,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Costa Rica,CRI,49.99429628,49.96580297,49.94008516,49.9191666,49.89872507,49.88109355,49.86478821,49.84785226,49.83254505,49.81925416,49.80780489,49.79691987,49.78592686,49.77312707,49.75884739,49.74537271,49.7317602,49.71909598,49.70885064,49.69927971,49.69020936,49.68193205
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Cote d'Ivoire,CIV,49.51954405,49.49563926,49.47140418,49.44793491,49.42591563,49.40286983,49.3793824,49.35517578,49.32904207,49.3021446,49.27411708,49.24480522,49.25216058,49.2987539,49.34710251,49.39828033,49.45033935,49.50029296,49.54627156,49.585766,49.6194306,49.61984215
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Croatia,HRV,51.29365679,51.31078154,51.33713087,51.38933282,51.44477146,51.50428137,51.56234352,51.61796694,51.67552449,51.72881235,51.7770244,51.8228603,51.86788601,51.90900316,51.94143203,51.96866122,51.99422306,52.01498708,52.03035998,52.04105947,52.04554317,52.0437636
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Cuba,CUB,50.38709205,50.34583079,50.29671619,50.26567381,50.23800688,50.20869491,50.18118478,50.15807026,50.13853657,50.12050881,50.10243791,50.08596557,50.07112669,50.05520161,50.03820741,50.02035957,50.00151857,49.98168256,49.96133732,49.94094676,49.90794581,49.85733622
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Curacao,CUW,52.05819118,52.08471246,52.12903089,51.71226315,52.4285142,53.75924069,53.7902881,53.84438469,53.93066508,54.05149998,54.20987142,54.25570737,54.17681014,54.10547099,54.03817915,53.97090436,53.90073765,53.83429646,53.78162845,53.73983285,53.71829512,53.69868663
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Cyprus,CYP,49.91761807,49.91480387,49.90598261,49.90080043,49.90363717,49.90331173,49.89544037,49.89067448,49.88857217,49.88474405,49.88007498,49.86987877,49.8450897,49.81241685,49.78231218,49.75346247,49.72494832,49.69625731,49.66672688,49.63602739,49.60639141,49.5755729
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Czechia,CZE,50.73871835,50.75110237,50.74059299,50.75130938,50.77626634,50.80165279,50.827554,50.85449189,50.88032136,50.89191627,50.89546112,50.90827989,50.93640564,50.97641321,51.01701263,51.05615502,51.09534718,51.13623751,51.17459811,51.21174414,51.2498425,51.28760944
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Denmark,DNK,50.24860339,50.25560961,50.26674318,50.28009561,50.29514352,50.31114025,50.32873612,50.34735309,50.36405527,50.37985845,50.39611966,50.4110641,50.42538538,50.44053581,50.45505421,50.47038883,50.4846035,50.49679811,50.50698115,50.51704345,50.53287069,50.55091192
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Djibouti,DJI,50.37110262,50.35172316,50.33096181,50.31378201,50.30032217,50.28594555,50.27348839,50.26310324,50.25078684,50.24167664,50.23572326,50.22966212,50.22612079,50.22500203,50.22539716,50.22399549,50.22510263,50.22801648,50.23296223,50.24162617,50.25249357,50.26636533
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Dominica,DMA,50.28664916,50.23062476,50.15903882,50.05740046,49.94140322,49.86151158,49.79664645,49.79930578,49.65187182,49.51684854,49.53983277,49.4966687,49.50621773,49.55732915,49.6045477,49.64740095,49.68141747,49.7335236,49.81479861,49.89187926,49.95898157,50.02421023
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Dominican Republic,DOM,49.82321831,49.79054897,49.74861959,49.71081289,49.6820547,49.65433308,49.62625831,49.5967838,49.56531803,49.53200491,49.49727252,49.46176378,49.42632052,49.39225612,49.36096469,49.33335858,49.3096635,49.289431,49.27136377,49.25373201,49.23401107,49.27439486
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Ecuador,ECU,50.08831732,50.06761815,50.02359768,49.99483387,49.98933336,49.98666223,49.98581169,49.98594706,49.98610101,49.98536856,49.98310824,49.979052,49.97291786,49.9652711,49.95726987,49.94981348,49.94346873,49.93830797,49.93417977,49.93064527,49.92725282,49.92372049
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,"Egypt, Arab Rep.",EGY,49.43279672,49.42413925,49.41856956,49.41291867,49.40199448,49.39008572,49.38094803,49.37508109,49.36943577,49.36133704,49.35411599,49.36200935,49.37017616,49.36212022,49.3515321,49.34169825,49.33270222,49.32445032,49.32256313,49.32805335,49.34138091,49.35622777
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,El Salvador,SLV,52.39347566,52.38182645,52.36677048,52.34975161,52.32449092,52.29206846,52.26155946,52.23809217,52.22252069,52.21275334,52.20631592,52.20156129,52.1972727,52.19328315,52.18856845,52.18273727,52.14604977,52.07968377,52.01829793,51.96365464,51.91597456,51.87467801
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Equatorial Guinea,GNQ,47.22539984,47.1769373,47.10983184,47.07884131,47.11991484,47.17328396,47.24185036,47.32700655,47.42812406,47.54678879,47.68078376,47.82987416,47.94723551,48.02948396,48.12512123,48.23727306,48.36915104,48.52172827,48.69372122,48.88214355,49.08362783,49.29748217
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Eritrea,ERI,50.65520604,50.67165482,50.68678027,50.70163695,50.71762891,50.7331172,50.74503304,50.75520822,50.76317353,50.77462552,50.79185979,50.80852483,50.82988455,50.85473273,50.88640915,50.92099975,50.94481324,50.96845323,51.00016648,51.05084439,51.104135,51.15220719
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Estonia,EST,52.5232606,52.57239966,52.62380364,52.71472805,52.84937844,52.99233653,53.1013902,53.17782509,53.24276583,53.297086,53.34093909,53.37520877,53.41714638,53.46221054,53.50277597,53.51685174,53.51044658,53.50795992,53.49744583,53.47401982,53.44472318,53.40999067
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Eswatini,SWZ,50.38854261,50.36111756,50.37364853,50.42796207,50.51782618,50.61186913,50.71272026,50.82182769,50.93807872,51.06297935,51.19790111,51.34059063,51.49056295,51.65588016,51.82388725,51.89887898,51.88678107,51.87883786,51.87508679,51.86688289,51.84909912,51.82735482
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Ethiopia,ETH,49.76478102,49.74901612,49.73454042,49.72385703,49.71361594,49.70436224,49.69425954,49.68331463,49.67620905,49.67055149,49.66665883,49.66603963,49.66651292,49.66630794,49.6685051,49.6757904,49.68930137,49.70823006,49.73163048,49.75909417,49.78933062,49.82527982
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Faroe Islands,FRO,48.23507252,48.23120119,48.24000763,48.24210058,48.27004219,48.32172009,48.34343434,48.35914454,48.31115238,48.22380107,48.16291949,48.11102385,48.07064656,48.06830618,48.0923757,48.0821323,48.05538882,48.06485681,48.11102544,48.16213707,48.21737552,48.26900205
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Fiji,FJI,49.86480469,49.85085604,49.81877878,49.76771026,49.69782241,49.62813609,49.55970953,49.48844309,49.41522129,49.34430124,49.27463534,49.20400064,49.13204054,49.0606102,48.99083449,48.97434228,49.00615231,49.0334578,49.05941428,49.08517475,49.10900339,49.13100842
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Finland,FIN,50.58780002,50.59555722,50.60975125,50.63405353,50.66231091,50.69629675,50.74094408,50.78587109,50.81689078,50.8448443,50.8746349,50.90218082,50.93043033,50.9562328,50.98732438,51.02264474,51.04593382,51.06423455,51.08234457,51.1045007,51.13490838,51.16653772
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,France,FRA,51.67472918,51.65886726,51.64988931,51.64383767,51.64009171,51.6374978,51.63446575,51.63022922,51.62498038,51.61892648,51.61359624,51.60607996,51.59627738,51.58697809,51.57739725,51.56594289,51.5536461,51.54181339,51.52933603,51.51994043,51.51265598,51.50307791
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,French Polynesia,PYF,49.45980626,49.42078465,49.36671966,49.31952475,49.27488021,49.22931122,49.17541332,49.11425115,49.05320606,48.98830685,48.92631829,48.87140028,48.81636997,48.76064092,48.70757562,48.64978539,48.60149654,48.57116506,48.54641151,48.51979496,48.47744629,48.41461837
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Gabon,GAB,49.1206333,49.06788417,49.01702149,48.97758813,48.9433452,48.91162804,48.89713672,48.91331943,48.96476863,49.05126941,49.16080699,49.27983075,49.39989071,49.51606914,49.62611986,49.73234807,49.83374752,49.92542958,50.00620982,50.07428914,50.13468029,50.1916439
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,"Gambia, The",GMB,50.24615742,50.25902339,50.27057162,50.28297453,50.30033752,50.32013513,50.34088467,50.36506944,50.39143105,50.42084947,50.45162236,50.48343219,50.5200862,50.55611492,50.59196657,50.62913519,50.66277332,50.69243686,50.72133232,50.75035578,50.74847772,50.7133399
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Georgia,GEO,52.99628644,52.98290571,52.9608233,52.9345544,52.91521807,52.90227737,52.88397846,52.85688753,52.82440018,52.83385759,52.89181664,52.95682873,53.02725087,53.10028014,53.17537602,53.25388394,53.32605297,53.39110902,53.46394709,53.54118211,53.56499475,53.52544746
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Germany,DEU,50.6580551,50.65974768,50.65886196,50.6620611,50.66772022,50.67942542,50.6995719,50.73256168,50.78011687,50.83770635,50.90327598,50.97155512,51.04073786,51.10994422,51.17672203,51.23526569,51.28278456,51.31870756,51.34103004,51.35433338,51.36259062,51.3662564
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Ghana,GHA,50.12791602,50.12481485,50.12083597,50.11885875,50.12080248,50.12424285,50.12736047,50.13198566,50.13763834,50.144936,50.15240092,50.16054947,50.17447504,50.18918059,50.20451501,50.22099415,50.23859902,50.25815276,50.27763064,50.29800491,50.32003544,50.34553853
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Gibraltar,GIB,50.05053754,50.0535676,50.05350209,50.07189842,50.08270032,50.10122078,50.11515431,50.11377614,50.07395538,50.03856715,50.04975124,50.08674805,50.10555947,50.11518868,50.13816698,50.15002,50.15040389,50.17321214,50.20197799,50.24557436,50.30116162,50.25431983
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Greece,GRC,51.06007518,51.01284637,51.00006355,50.99159979,50.97935527,50.96089421,50.93820856,50.90587353,50.86175796,50.80999092,50.74868873,50.67987614,50.61043887,50.53827526,50.46655462,50.40145632,50.34219505,50.2895591,50.24618332,50.21452255,50.1929552,50.18037095
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Greenland,GRL,47.49052527,47.38367441,47.29232856,47.24392555,47.23498596,47.22679159,47.21010087,47.19026747,47.15564849,47.11440746,47.07023257,47.01357305,46.95036468,46.89947202,46.86627311,46.83289836,46.78495362,46.75233357,46.7168431,46.66126075,46.60125519,46.55233569
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Grenada,GRD,49.99840559,49.95907231,49.93086048,49.90058994,49.8596497,49.81682255,49.77160195,49.72264246,49.67788967,49.63615375,49.59451998,49.54315251,49.52428555,49.53774426,49.55280144,49.56366077,49.56842181,49.57099062,49.57905694,49.58524922,49.61332705,49.65535132
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Guam,GUM,49.67515456,49.64112728,49.58547784,49.53150204,49.49785983,49.46502497,49.43390398,49.40051673,49.3664313,49.3361428,49.30585605,49.27527483,49.24896152,49.2283388,49.21900137,49.21493296,49.21572795,49.22763486,49.2427014,49.26156012,49.28243204,49.3078428
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Guatemala,GTM,50.51023016,50.49562191,50.47850227,50.47107686,50.47142534,50.47007541,50.46782875,50.46472722,50.46060327,50.45515489,50.44831193,50.44026499,50.43075692,50.4197193,50.40744447,50.39448459,50.38084889,50.36696629,50.35310816,50.33912721,50.32578901,50.31280201
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Guinea,GIN,50.54583764,50.59158702,50.64021598,50.68939803,50.73902832,50.78367906,50.82727034,50.87096179,50.90411365,50.92619645,50.9405218,50.95557325,50.9736895,50.98877663,51.0029515,51.01614294,51.0175149,50.98662883,50.94792021,50.94138861,50.95733283,50.85588352
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Guinea-Bissau,GNB,50.61375421,50.63785927,50.66017537,50.68428288,50.71095168,50.73873859,50.7679259,50.79760459,50.82902687,50.86163888,50.89467828,50.92786465,50.95959725,50.99077001,51.02366183,51.05875475,51.09381221,51.12628496,51.15756465,51.18735715,51.21398982,51.23685759
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Guyana,GUY,51.03619767,51.07492602,51.09156776,50.82071679,50.85510888,51.09321692,50.93987909,50.78069642,50.61595095,50.44151882,50.3336174,50.29896672,50.26486365,50.23241017,50.20115362,50.16992258,50.13799387,50.1049744,50.07075,50.03852414,50.04583578,50.09035165
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Haiti,HTI,50.46428156,50.44492853,50.42458075,50.40402536,50.38567814,50.36913832,50.35280971,50.33805681,50.32504413,50.31326727,50.30375804,50.29553022,50.3118701,50.33110881,50.32842495,50.32644696,50.32510321,50.32470725,50.32911383,50.33576574,50.34146329,50.34885983
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Honduras,HND,49.5118884,49.49865956,49.48528236,49.47403957,49.46485446,49.45608331,49.44786899,49.44012618,49.43373278,49.42779307,49.4220612,49.4184172,49.41702887,49.41819206,49.42124425,49.42543734,49.43012446,49.43508677,49.43895142,49.44316631,49.44940874,49.45412023
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,"Hong Kong SAR, China",HKG,53.92667647,53.878644,53.8434024,53.81777404,53.80128864,53.78692998,53.77960273,53.70277025,53.55267952,53.40473332,53.26546918,53.11534021,52.92773663,52.72434861,52.52607657,52.3297297,52.12223955,51.89193288,51.64893049,51.40533078,51.16375063,50.92862766
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Hungary,HUN,51.98956428,52.06604965,52.07965727,52.12146263,52.19060104,52.25451865,52.29538067,52.33222534,52.37076254,52.39738408,52.42132055,52.46498001,52.49835658,52.5075238,52.51636403,52.51769415,52.51472522,52.51797161,52.51549533,52.49662435,52.47121197,52.44280408
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Iceland,ISL,48.74349355,48.74289495,48.70387188,48.72468637,48.90861492,49.24075755,49.57622701,49.75533136,49.83152446,49.84785078,49.83098583,49.78937841,49.70329812,49.45138018,49.12799207,49.05580514,49.34653205,49.72814102,49.92013299,49.97670815,49.9673382,49.94355591
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,India,IND,48.40570567,48.38575642,48.36693679,48.35378254,48.34568866,48.33923196,48.33373349,48.32863253,48.32272625,48.31490115,48.30552804,48.29568755,48.28639484,48.27789879,48.27015696,48.26338432,48.25785093,48.25414571,48.25233719,48.25233442,48.2538354,48.25705407
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Indonesia,IDN,49.654228,49.64351776,49.63267731,49.62645884,49.6243418,49.62344941,49.62393878,49.62509761,49.62683121,49.6271043,49.62907301,49.63517337,49.64159076,49.64555196,49.64978541,49.65627847,49.66064442,49.66569939,49.67566962,49.68375421,49.69070681,49.69846615
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,"Iran, Islamic Rep.",IRN,49.50389139,49.47104772,49.4388963,49.41077722,49.38660715,49.36404412,49.34277125,49.31615632,49.2806266,49.24944679,49.22410506,49.19855032,49.18514915,49.18380976,49.18273715,49.1832166,49.19677882,49.23102728,49.27980026,49.33489883,49.35308904,49.32660442
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Iraq,IRQ,49.90491306,49.92968189,49.9551519,49.98329785,50.01497634,50.03984234,50.05215652,50.07585053,50.11316456,50.1471825,50.18107634,50.21530783,50.24545916,50.27124003,50.28396679,50.2685524,50.23649218,50.2139227,50.20357553,50.20128507,50.21717294,50.24719709
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Ireland,IRL,50.43925983,50.44808751,50.45980495,50.46712441,50.47451581,50.49339313,50.50992538,50.53238915,50.52454833,50.48369607,50.45903758,50.40784456,50.33405274,50.23805545,50.10771738,49.99341718,49.98750828,50.10438667,50.23747791,50.31766701,50.32822684,50.30770291
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Isle of Man,IMN,50.47385795,50.47055054,50.46641125,50.45691206,50.4529991,50.4582436,50.4613541,50.4575742,50.44459807,50.41714204,50.38416846,50.34973325,50.3483323,50.38654043,50.43843067,50.51787916,50.6045271,50.6806019,50.76070516,50.84617457,50.92831323,51.01442446
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Israel,ISR,50.12234036,50.14469005,50.16549835,50.1902957,50.21884393,50.24794636,50.28325131,50.32071319,50.35697545,50.39560349,50.43487275,50.47405751,50.5132262,50.54048757,50.55674433,50.57490625,50.59618034,50.62011068,50.64295164,50.66372881,50.68393267,50.70187763
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Italy,ITA,51.23626902,51.26080917,51.28128585,51.29538722,51.3272189,51.38992493,51.45185288,51.50355854,51.53721087,51.55972469,51.58959494,51.60683832,51.59653441,51.57940502,51.56840204,51.55710724,51.54822694,51.55047581,51.56906175,51.59555543,51.61431381,51.62044673
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Jamaica,JAM,50.39999972,50.38531383,50.37402019,50.363551,50.35220772,50.34361496,50.33965522,50.34330609,50.35752725,50.37843533,50.39892138,50.41211957,50.41845045,50.42512106,50.4342265,50.44181872,50.44433125,50.44311196,50.44151254,50.44377141,50.45196729,50.46623283
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Japan,JPN,51.40053352,51.39528585,51.38989806,51.38098763,51.36827068,51.35537699,51.34384492,51.33441576,51.32521711,51.31538781,51.30495962,51.29303568,51.27839194,51.26023984,51.23922691,51.2167522,51.19255485,51.1648556,51.13503672,51.10527608,51.07610932,51.0481398
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Jordan,JOR,48.19259376,48.15203747,48.11127487,48.07207579,48.03401382,47.99583099,47.9575311,47.9188974,48.05245445,48.42131337,48.63038857,48.60466555,48.57748767,48.54913942,48.51948771,48.48882135,48.45633678,48.42165249,48.38953927,48.34244699,48.2707526,48.18240625
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Kazakhstan,KAZ,51.87596163,51.91618874,51.94719305,51.98027563,52.02556098,52.07433174,52.12958692,52.18224089,52.22641181,52.27227655,52.31339032,52.35337357,52.39678498,52.4356817,52.46385998,52.48267289,52.48906195,52.48116918,52.46874372,52.45468035,52.43969882,52.41771225
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Kenya,KEN,50.43717469,50.42188361,50.40817316,50.39946263,50.38409872,50.36351843,50.34927269,50.33553684,50.31832548,50.30568377,50.29576585,50.28525294,50.27952405,50.28211463,50.29036876,50.30227706,50.31575004,50.3313282,50.34987231,50.36952809,50.38978093,50.4104091
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Kiribati,KIR,51.2748415,51.32920527,51.3731289,51.39285743,51.38187975,51.36089463,51.33276518,51.30283531,51.26146889,51.20950305,51.15931122,51.11539897,51.07273485,51.03871844,51.02244965,51.01178454,51.00366696,50.97286174,50.93843532,50.92787003,50.92316017,50.87539075
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,"Korea, Dem. People's Rep.",PRK,50.49709591,50.545087,50.60105808,50.65945483,50.71813882,50.77687336,50.83597382,50.89557513,50.95078506,50.99818137,51.04029409,51.07651215,51.10635456,51.12921261,51.14655671,51.16203859,51.177642,51.19430818,51.21225875,51.23112483,51.25300089,51.27906313
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,"Korea, Rep.",KOR,50.07806884,50.05809651,50.04011018,50.01438214,49.98156236,49.94934058,49.91663611,49.91989611,49.96612507,50.01911744,50.07425024,50.13174326,50.15174633,50.12438354,50.08891575,50.05408373,50.01992847,49.97794823,49.92585478,49.87311037,49.82291247,49.77332311
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Kosovo,XKX,50.1637029,50.15574525,50.13820571,50.12760403,50.12374544,50.11913383,50.11358165,50.10732627,50.09863264,50.09046478,50.08540299,50.08119653,49.98970747,49.81702018,49.65586652,49.50409397,49.35881813,49.21651462,49.07634866,48.94056567,48.80933687,48.73745827
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Kuwait,KWT,39.18893816,39.04410564,38.74339402,38.34360857,38.48213593,39.19970016,39.16115892,40.15794848,42.16314191,42.7195478,42.9037875,43.10841093,43.07042709,42.73177013,42.33834918,41.89508487,41.39791293,40.95234729,40.84479965,40.99702785,41.1483742,41.30003203
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Kyrgyz Republic,KGZ,50.90173276,50.89483455,50.89270233,50.89797131,50.91077456,50.92963688,50.95180549,50.98083172,51.01245748,51.04104162,51.06870622,51.09258517,51.11543619,51.13696959,51.15569137,51.17565158,51.19386443,51.20879303,51.22599785,51.24109048,51.25221793,51.26718277
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Lao PDR,LAO,49.60234279,49.59534991,49.58841566,49.58154079,49.57690395,49.57346593,49.56798822,49.56238888,49.57194655,49.5975907,49.62614478,49.65485705,49.68131159,49.70723588,49.73434046,49.76074876,49.78697886,49.81088234,49.81549598,49.8072003,49.80386547,49.80342254
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Latvia,LVA,53.61524134,53.68006835,53.76457788,53.84943297,53.93365468,54.0175726,54.10129133,54.18465779,54.25613327,54.31831674,54.37638413,54.41473991,54.43848054,54.45859288,54.4693761,54.47188097,54.46703205,54.45049318,54.43472621,54.42902584,54.414688,54.38671374
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Lebanon,LBN,51.5030496,51.48095771,51.4688086,51.32879169,51.07131952,50.83114921,50.60804948,50.40250416,50.3161447,50.33766514,50.35971973,50.38142292,50.40089675,50.4169852,50.42938138,50.43737452,50.43732192,50.44065919,50.45382342,50.46922099,50.48472271,50.50170874
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Lesotho,LSO,50.66858933,50.65874657,50.65946497,50.66922706,50.68700561,50.70701096,50.72961445,50.75540908,50.78735535,50.82878522,50.87627597,50.92573553,50.97004222,51.00850152,51.03297521,51.07758393,51.1093799,51.09900557,51.0944986,51.09285861,51.09339816,51.0948635
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Liberia,LBR,50.20062493,50.22210815,50.24253162,50.26482918,50.28861468,50.31320942,50.33993137,50.36642009,50.39407903,50.42320252,50.45224321,50.48874114,50.52863763,50.56214159,50.59693907,50.63252531,50.66642125,50.69760507,50.72496026,50.73828923,50.74908539,50.76836702
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Libya,LBY,49.39974379,49.37835519,49.35394688,49.32307194,49.29870405,49.28782312,49.25852361,49.20443103,49.15278781,49.11668258,49.09049093,49.12403291,49.16794363,49.17552004,49.19126513,49.21288983,49.22610674,49.07788405,48.763117,48.43147878,48.08766391,47.7341944
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Liechtenstein,LIE,50.41065934,50.42649658,50.40251832,50.36380645,50.33917393,50.33914857,50.37889867,50.41895329,50.46096614,50.49448459,50.51088892,50.53469286,50.55391638,50.58724597,50.63981243,50.6799431,50.71225888,50.72392567,50.72594752,50.75588235,50.78206156,50.78799137
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Lithuania,LTU,53.03152119,53.07133904,53.15340711,53.25215166,53.36626186,53.48692524,53.59970249,53.70273959,53.79840644,53.87995928,53.94929915,54.00487387,54.04258464,54.05940426,54.05222341,54.00795375,53.94350531,53.87870817,53.81396725,53.74981807,53.68028718,53.60499665
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Luxembourg,LUX,49.6696258,49.67066622,49.68234404,49.70248704,49.72405591,49.75657532,49.78940638,49.8510734,49.91916471,49.97274733,50.05493936,50.16325554,50.25716371,50.32297717,50.39712669,50.44053781,50.4616811,50.49090049,50.53955106,50.6268957,50.68612039,50.70186969
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,"Macao SAR, China",MAC,53.07896796,53.06106696,53.02927916,52.93368673,52.84036185,52.74307127,52.6375166,52.52349087,52.40173661,52.27343969,52.14031018,52.04788766,52.02611893,52.03132107,52.04030712,52.04529137,52.03890305,52.03358854,52.03152699,52.02936872,52.02561907,52.00058298
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Madagascar,MDG,49.89746963,49.88549627,49.87303357,49.8620898,49.85376701,49.84668436,49.83956319,49.83294376,49.82573075,49.81540459,49.80554065,49.79779542,49.79096503,49.78524032,49.77963155,49.77262687,49.76574781,49.76120641,49.75597199,49.75248684,49.75252055,49.75431285
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Malawi,MWI,51.36139762,51.37795151,51.3922261,51.40627424,51.42240399,51.43952293,51.45775871,51.47768969,51.49651966,51.5167046,51.54269064,51.57280154,51.6077199,51.64664046,51.68651714,51.69804845,51.66996016,51.62731051,51.57843527,51.52521537,51.46765692,51.40580536
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Malaysia,MYS,48.90176477,48.86937683,48.83682054,48.80498183,48.77254183,48.73870576,48.70378233,48.66910193,48.63579612,48.6025877,48.56748158,48.52984668,48.49066592,48.50421041,48.57371393,48.64711786,48.72391554,48.80406747,48.89051135,48.98370863,49.08417519,49.19291765
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Maldives,MDV,42.47356273,42.32774706,42.24338015,42.19635764,42.2235063,42.29386888,42.38484366,42.49234358,42.61574418,42.97553453,43.58864527,44.23539152,44.91599253,45.63928753,46.40810014,47.22569096,47.99730281,48.35416816,48.36248697,48.36992726,48.37144695,48.36317189
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Mali,MLI,49.51303002,49.50580879,49.49906333,49.49498294,49.49169015,49.48839167,49.48740398,49.48595496,49.48364312,49.48133775,49.48108311,49.48275327,49.48368494,49.48546279,49.48811146,49.49057987,49.49242638,49.49419034,49.49675717,49.50133141,49.50928915,49.52296409
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Malta,MLT,47.86999846,47.98727285,48.20862391,48.44778461,48.70724553,48.96526986,49.22696999,49.48103176,49.71071205,49.91189075,50.08571621,50.2258181,50.3289513,50.39277978,50.41763324,50.41897103,50.40065954,50.37517552,50.35518765,50.33999395,50.32900996,50.32537529
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Marshall Islands,MHL,48.94512738,48.91082045,48.88858176,48.86201037,48.83776555,48.82700744,48.81334189,48.79781421,48.78319681,48.77122605,48.76348103,48.75875479,48.78875243,48.81607673,48.79775531,48.7804878,48.7732438,48.75867273,48.74437402,48.73102967,48.72284204,48.71629941
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Mauritania,MRT,50.98902292,51.01621374,51.04218998,51.06742956,51.09475891,51.12320508,51.15217837,51.18148507,51.21139454,51.24122386,51.19818884,51.07323574,50.93036593,50.7699355,50.59471085,50.47172863,50.40495205,50.32921032,50.24582778,50.15717959,50.06487217,49.96312218
